,date,beef,veal,pork,lamb_and_mutton,broilers,other_chicken,turkey
684,2001-01-01,2205.0,18.0,1693.0,19.0,2622.2,42.7,461.2
685,2001-02-01,1881.0,16.0,1486.0,17.0,2322.2,39.7,409.3
686,2001-03-01,2096.0,16.0,1626.0,23.0,2588.6,44.4,462.0
687,2001-04-01,1939.0,15.0,1533.0,20.0,2515.7,42.2,428.8
688,2001-05-01,2294.0,16.0,1555.0,17.0,2835.6,45.6,488.3
689,2001-06-01,2269.0,16.0,1458.0,16.0,2636.6,44.0,463.9
690,2001-07-01,2177.0,16.0,1435.0,17.0,2592.8,42.5,470.1
691,2001-08-01,2425.0,17.0,1600.0,19.0,2850.7,46.6,494.9
692,2001-09-01,2121.0,15.0,1513.0,16.0,2438.7,40.9,429.1
693,2001-10-01,2389.0,18.0,1838.0,20.0,2897.2,47.0,541.3
694,2001-11-01,2201.0,16.0,1733.0,20.0,2500.7,39.4,493.0
695,2001-12-01,2110.0,16.0,1668.0,19.0,2464.8,40.9,419.8
696,2002-01-01,2331.0,16.9,1717.0,17.7,2779.9,48.0,482.7
697,2002-02-01,1987.0,14.3,1482.0,17.8,2453.6,40.8,448.2
698,2002-03-01,2059.0,15.0,1581.0,22.2,2585.1,42.8,447.2
699,2002-04-01,2195.0,16.1,1672.0,19.1,2751.8,47.3,491.3
700,2002-05-01,2336.0,15.5,1646.0,19.5,2894.9,46.5,496.8
701,2002-06-01,2302.0,14.6,1479.0,15.1,2587.1,44.0,452.9
702,2002-07-01,2427.0,16.7,1557.0,16.3,2826.5,48.3,485.6
703,2002-08-01,2469.0,16.7,1637.0,16.6,2828.3,49.2,481.9
704,2002-09-01,2201.0,16.3,1638.0,17.6,2596.4,46.4,444.6
705,2002-10-01,2512.0,18.7,1831.0,19.7,2953.3,50.7,525.9
706,2002-11-01,2164.0,16.9,1709.0,17.8,2455.5,40.9,492.3
707,2002-12-01,2107.0,18.0,1715.0,18.5,2527.4,42.2,463.4
708,2003-01-01,2291.0,17.8,1752.0,16.0,2774.6,45.2,479.8
709,2003-02-01,1942.0,15.8,1523.0,15.1,2419.5,39.5,431.4
710,2003-03-01,2048.0,16.5,1623.0,18.1,2592.4,41.1,468.5
711,2003-04-01,2151.0,16.0,1659.0,19.5,2733.6,43.5,474.4
712,2003-05-01,2360.0,15.8,1551.0,15.2,2781.2,44.0,481.7
713,2003-06-01,2391.0,15.0,1531.0,15.2,2759.8,44.5,482.5
714,2003-07-01,2439.0,14.8,1580.0,15.7,2888.1,46.5,493.5
715,2003-08-01,2328.0,14.1,1559.0,15.7,2742.3,41.4,455.6
716,2003-09-01,2314.0,15.3,1668.0,16.9,2817.2,40.2,459.6
717,2003-10-01,2212.0,16.3,1912.0,17.9,3052.8,43.7,528.4
718,2003-11-01,1783.0,15.2,1718.0,16.3,2423.9,33.9,455.5
719,2003-12-01,1978.0,19.0,1869.0,18.0,2763.6,39.1,439.4
720,2004-01-01,1926.0,16.0,1758.0,15.5,2823.6,39.2,440.0
721,2004-02-01,1804.0,14.5,1571.0,14.8,2467.8,32.3,398.0
722,2004-03-01,2108.0,14.1,1801.0,22.2,2903.2,45.1,470.9
723,2004-04-01,1956.0,13.9,1725.0,17.5,2814.2,42.2,449.2
724,2004-05-01,2070.0,13.7,1500.0,13.1,2771.4,39.2,449.1
725,2004-06-01,2227.0,13.3,1672.0,15.6,2906.4,43.7,467.5
726,2004-07-01,2104.0,13.3,1576.0,14.2,2875.8,43.5,462.0
727,2004-08-01,2151.0,14.0,1699.0,15.2,2989.5,45.7,469.6
728,2004-09-01,2105.0,12.9,1772.0,16.3,2974.1,46.5,458.5
729,2004-10-01,2114.0,12.4,1779.0,16.3,2903.6,43.7,466.2
730,2004-11-01,1941.0,13.8,1799.0,16.5,2479.3,40.6,483.2
731,2004-12-01,2042.0,14.9,1857.0,17.0,2836.9,42.5,440.0
732,2005-01-01,1915.6,13.3,1704.8,14.5,2884.1,38.7,455.3
733,2005-02-01,1767.4,12.0,1629.2,15.1,2667.9,38.8,409.2
734,2005-03-01,2041.7,13.3,1803.7,19.5,3036.4,46.5,463.1
735,2005-04-01,1887.8,13.0,1703.4,15.5,2855.4,44.4,446.0
736,2005-05-01,2074.0,13.2,1611.4,14.8,3023.2,45.1,461.0
737,2005-06-01,2227.0,13.2,1706.5,15.3,3055.4,48.1,490.0
738,2005-07-01,2082.8,12.4,1505.0,13.4,2814.3,42.0,432.0
739,2005-08-01,2319.0,13.7,1752.3,15.4,3113.3,47.2,488.4
740,2005-09-01,2158.0,13.2,1743.0,15.6,3011.1,42.2,454.5
741,2005-10-01,2080.7,12.6,1816.2,15.8,3044.7,41.6,484.3
742,2005-11-01,2071.3,12.4,1843.2,15.8,2942.2,40.2,482.8
743,2005-12-01,2057.3,13.5,1866.3,16.5,2916.8,41.6,437.7
744,2006-01-01,2051.0,11.8,1820.5,16.3,3001.6,43.1,447.9
745,2006-02-01,1826.9,11.3,1637.0,14.7,2713.9,37.3,412.5
746,2006-03-01,2203.7,12.7,1877.5,18.3,3098.5,45.3,490.5
747,2006-04-01,1969.2,10.4,1618.3,16.9,2774.4,40.5,432.6
748,2006-05-01,2309.0,12.7,1726.0,16.1,3158.6,45.4,493.8
749,2006-06-01,2446.1,12.4,1663.3,14.4,3046.9,46.3,509.0
750,2006-07-01,2213.6,11.2,1552.6,13.2,2836.0,39.2,456.9
751,2006-08-01,2450.0,12.8,1780.2,14.6,3133.9,46.3,501.0
752,2006-09-01,2169.9,12.1,1753.7,14.3,2900.6,39.7,461.4
753,2006-10-01,2236.4,13.2,1932.0,15.7,3185.1,44.0,540.9
754,2006-11-01,2226.6,12.9,1896.4,15.4,2912.3,40.6,506.0
755,2006-12-01,2049.6,13.1,1796.4,15.4,2737.8,36.9,429.1
756,2007-01-01,2166.0,14.3,1898.5,15.0,3029.8,39.5,482.4
757,2007-02-01,1952.5,12.1,1636.3,14.4,2667.9,36.3,445.3
758,2007-03-01,2118.2,13.5,1861.0,19.6,2927.8,39.5,481.9
759,2007-04-01,2015.0,11.9,1711.5,15.0,2885.4,38.6,463.1
760,2007-05-01,2285.1,12.3,1762.6,15.5,3171.8,44.8,511.2
761,2007-06-01,2348.5,11.2,1654.1,13.7,3027.0,45.0,507.2
762,2007-07-01,2256.7,10.7,1659.5,13.5,3055.0,44.6,505.2
763,2007-08-01,2450.6,10.3,1850.0,14.8,3181.2,47.4,522.2
764,2007-09-01,2094.7,9.4,1746.0,13.6,2894.7,35.8,460.2
765,2007-10-01,2443.0,11.1,2145.1,16.4,3383.8,47.6,585.1
766,2007-11-01,2228.8,10.1,2045.2,16.1,3033.2,41.0,526.0
767,2007-12-01,2061.4,10.4,1972.7,15.4,2901.4,38.1,460.8
768,2008-01-01,2232.7,11.3,2159.0,14.7,3237.2,45.7,546.4
769,2008-02-01,2038.6,11.0,1902.7,15.0,2926.5,43.7,502.8
770,2008-03-01,2100.5,11.3,1962.0,16.0,2981.6,45.1,487.0
771,2008-04-01,2255.4,11.9,2015.6,15.3,3196.6,48.0,519.2
772,2008-05-01,2380.1,11.5,1815.5,15.0,3165.4,50.0,518.9
773,2008-06-01,2263.4,11.7,1761.8,13.1,3077.3,49.8,522.0
774,2008-07-01,2371.6,12.3,1852.5,13.7,3226.7,51.1,546.0
775,2008-08-01,2266.8,11.2,1803.9,13.3,3080.5,47.9,506.9
776,2008-09-01,2269.9,12.8,1975.8,14.5,3149.7,49.0,515.4
777,2008-10-01,2340.9,13.5,2159.9,15.0,3270.6,50.6,581.8
778,2008-11-01,1959.3,11.3,1886.1,12.8,2662.7,38.6,508.5
779,2008-12-01,2082.0,13.3,2052.1,15.4,2931.5,39.8,492.1
780,2009-01-01,2117.9,12.0,2027.0,13.3,2871.6,38.3,469.2
781,2009-02-01,1986.0,11.0,1817.3,12.7,2704.3,37.1,444.1
782,2009-03-01,2144.0,12.2,1969.7,15.9,2997.0,42.5,471.4
783,2009-04-01,2133.4,11.2,1925.0,15.5,2997.7,43.8,475.0
784,2009-05-01,2179.4,10.3,1716.8,13.0,2890.4,40.6,451.0
785,2009-06-01,2289.0,11.5,1847.7,13.8,3050.6,45.1,493.7
786,2009-07-01,2271.2,10.9,1828.5,13.9,3095.5,47.7,485.6
787,2009-08-01,2184.2,10.6,1868.9,13.3,3012.1,44.8,463.4
788,2009-09-01,2234.1,11.7,2002.1,14.8,3064.3,43.1,467.9
789,2009-10-01,2275.7,12.2,2089.0,14.3,3071.9,44.6,508.3
790,2009-11-01,2016.1,11.7,1921.7,14.3,2788.8,34.1,477.5
791,2009-12-01,2134.4,13.1,1985.3,15.9,2966.2,38.4,456.3
792,2010-01-01,2081.8,11.6,1809.7,12.8,2831.2,37.8,424.2
793,2010-02-01,1955.2,10.7,1757.5,12.4,2739.5,34.7,425.4
794,2010-03-01,2211.2,12.2,2040.1,17.7,3162.0,43.4,490.0
795,2010-04-01,2139.2,11.1,1849.1,12.9,3038.3,40.7,455.1
796,2010-05-01,2087.2,10.1,1621.3,12.6,3020.0,40.2,438.8
797,2010-06-01,2320.0,10.7,1831.7,14.1,3139.7,43.7,489.5
798,2010-07-01,2229.6,10.9,1702.2,12.8,3057.7,44.9,466.9
799,2010-08-01,2286.6,11.2,1815.3,12.8,3200.0,47.5,481.1
800,2010-09-01,2252.2,11.3,1883.5,13.1,3238.3,45.6,467.1
801,2010-10-01,2234.9,11.4,2002.7,13.1,3183.7,41.0,524.3
802,2010-11-01,2235.5,11.3,2068.0,14.4,3124.4,40.3,520.5
803,2010-12-01,2270.9,11.7,2055.4,14.9,3175.0,44.1,461.4
804,2011-01-01,2122.9,10.8,1896.2,11.2,3127.5,39.8,463.0
805,2011-02-01,2020.4,10.5,1768.1,10.9,2852.4,37.4,435.6
806,2011-03-01,2266.2,12.1,2054.4,14.1,3310.4,44.1,503.1
807,2011-04-01,2052.5,10.2,1790.7,14.4,2973.5,40.3,455.6
808,2011-05-01,2131.9,10.3,1759.7,12.9,3251.1,42.9,496.4
809,2011-06-01,2375.0,11.2,1820.0,12.6,3284.6,49.3,519.3
810,2011-07-01,2134.1,10.1,1637.1,10.9,3030.9,46.2,448.1
811,2011-08-01,2386.9,11.4,1892.1,13.1,3330.3,49.9,501.3
812,2011-09-01,2215.2,10.7,1954.4,11.8,3180.4,47.0,473.2
813,2011-10-01,2215.1,10.6,2033.2,11.7,3096.8,43.4,524.5
814,2011-11-01,2148.8,10.8,2086.7,12.6,2907.1,39.8,511.4
815,2011-12-01,2126.3,10.8,2065.6,12.5,2855.8,41.4,458.9
816,2012-01-01,2113.8,10.4,1987.0,12.1,3091.8,43.2,476.7
817,2012-02-01,2009.0,9.8,1882.9,12.3,2954.0,38.8,466.8
818,2012-03-01,2159.8,10.0,1987.9,14.2,3043.7,40.1,502.1
819,2012-04-01,1990.6,9.9,1841.7,12.9,2993.8,41.6,478.0
820,2012-05-01,2232.0,10.4,1926.8,13.6,3278.0,47.7,519.9
821,2012-06-01,2252.1,8.9,1750.4,12.4,3105.3,49.2,506.6
822,2012-07-01,2200.8,9.5,1721.8,12.5,3127.0,43.4,497.2
823,2012-08-01,2367.5,10.1,1997.9,14.2,3317.4,51.0,530.1
824,2012-09-01,2016.0,8.8,1911.0,12.5,2927.1,43.7,453.1
825,2012-10-01,2343.7,10.3,2210.4,14.2,3335.0,43.8,579.9
826,2012-11-01,2206.6,10.1,2078.7,12.4,3006.7,37.5,515.3
